experiment_id,exp_number,n_features,n_features_selected,shots,reps,entanglement,noise_level,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,recall_pos1,f1_score,gen_gap,kernel_time,train_time,y_test,y_pred
EM_f2_s8192_r1_full_low,43,2,2,8192,1,full,low,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.3181818181818182,0.4,0.38095238095238093,0.6,0.42857142857142855,0.42857142857142855,0.5,0.08181818181818185,25.27739119529724,0.02499532699584961,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 0, 1, 1, 0, 0, 1, 0]"
EM_f2_s8192_r1_full_standard,44,2,2,8192,1,full,standard,"['attr_13_3', 'attr_26_2']",100.0,0.6166666666666666,0.4090909090909091,0.6,0.7142857142857143,1.0,0.42857142857142855,0.42857142857142855,0.6,0.19090909090909086,25.3379545211792,0.02582693099975586,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
EM_f2_s8192_r1_full_high,45,2,2,8192,1,full,high,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.22727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.07272727272727272,24.914071321487427,0.02623128890991211,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s8192_r2_linear_low,46,2,2,8192,2,linear,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,25.935081481933594,0.026154041290283203,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s8192_r2_linear_standard,47,2,2,8192,2,linear,standard,"['attr_13_3', 'attr_26_2']",0.01,0.5,0.18181818181818182,0.2,0.23809523809523808,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.2,0.018181818181818188,26.070950031280518,0.025053024291992188,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
EM_f2_s8192_r2_linear_high,48,2,2,8192,2,linear,high,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.7727272727272727,0.5,0.5476190476190476,0.75,0.42857142857142855,0.42857142857142855,0.5454545454545454,0.2727272727272727,26.096572399139404,0.02652287483215332,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 0, 0, 1, 0]"
EM_f2_s8192_r2_circular_low,49,2,2,8192,2,circular,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,25.82437014579773,0.026823759078979492,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s8192_r2_circular_standard,50,2,2,8192,2,circular,standard,"['attr_13_3', 'attr_26_2']",0.01,0.5,0.18181818181818182,0.2,0.23809523809523808,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.2,0.018181818181818188,26.777337074279785,0.0259552001953125,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
EM_f2_s8192_r2_circular_high,51,2,2,8192,2,circular,high,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.7727272727272727,0.5,0.5476190476190476,0.75,0.42857142857142855,0.42857142857142855,0.5454545454545454,0.2727272727272727,26.20439600944519,0.026010990142822266,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 0, 0, 1, 0]"
EM_f2_s8192_r2_full_low,52,2,2,8192,2,full,low,"['attr_13_3', 'attr_26_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,26.178831100463867,0.02651357650756836,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EM_f2_s8192_r2_full_standard,53,2,2,8192,2,full,standard,"['attr_13_3', 'attr_26_2']",0.01,0.5,0.18181818181818182,0.2,0.23809523809523808,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.2,0.018181818181818188,25.901721954345703,0.0255434513092041,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
EM_f2_s8192_r2_full_high,54,2,2,8192,2,full,high,"['attr_13_3', 'attr_26_2']",0.1,0.5,0.7727272727272727,0.5,0.5476190476190476,0.75,0.42857142857142855,0.42857142857142855,0.5454545454545454,0.2727272727272727,26.026817321777344,0.02571249008178711,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 1, 0, 0, 1, 0]"
EM_f3_s1024_r1_linear_low,55,3,3,1024,1,linear,low,"['attr_13_3', 'attr_26_2', 'attr_13_2']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.0,0.027272727272727282,5.0662901401519775,0.025769948959350586,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
