experiment_id,exp_number,n_features,n_features_selected,shots,reps,entanglement,selected_features,best_c,cv_score,train_acc,test_acc,test_balanced_acc,precision,recall,f1_score,gen_gap,kernel_time,train_time,y_test,y_pred
Exp_f5_s1024_r1_circular,56,5,5,1024,1,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",1.0,0.5444444444444444,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,2.4570844173431396,0.0331118106842041,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f5_s1024_r1_full,57,5,5,1024,1,full,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,2.9335975646972656,0.027304887771606445,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f5_s1024_r2_linear,58,5,5,1024,2,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",0.01,0.5166666666666667,0.6818181818181818,0.7,0.6904761904761905,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.018181818181818188,3.354400157928467,0.026236295700073242,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
Exp_f5_s1024_r2_circular,59,5,5,1024,2,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,3.3543145656585693,0.029778003692626953,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f5_s1024_r2_full,60,5,5,1024,2,full,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,4.314361333847046,0.026866436004638672,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f5_s4096_r1_linear,61,5,5,4096,1,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,5.389642953872681,0.024731159210205078,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f5_s4096_r1_circular,62,5,5,4096,1,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",1.0,0.5444444444444444,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,5.456440210342407,0.026690006256103516,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f5_s4096_r1_full,63,5,5,4096,1,full,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",100.0,0.5055555555555556,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.101919174194336,0.029118061065673828,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]"
Exp_f5_s4096_r2_linear,64,5,5,4096,2,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",0.01,0.5166666666666667,0.5454545454545454,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.054545454545454564,6.023422002792358,0.03113579750061035,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 0, 1, 1, 1, 0, 0]"
Exp_f5_s4096_r2_circular,65,5,5,4096,2,circular,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",0.1,0.5,0.7272727272727273,0.6,0.6190476190476191,0.8,0.5714285714285714,0.6666666666666666,0.12727272727272732,6.234676837921143,0.02714371681213379,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 0, 0, 0]"
Exp_f5_s4096_r2_full,66,5,5,4096,2,full,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,7.44333815574646,0.028194904327392578,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Exp_f5_s8192_r1_linear,67,5,5,8192,1,linear,"['attr_13_3', 'attr_26_2', 'attr_13_2', 'attr_1_1', 'attr_3_0']",0.001,0.5,0.2727272727272727,0.3,0.5,0.0,0.0,0.0,0.027272727272727282,9.850049495697021,0.029421567916870117,"[1, 1, 0, 0, 1, 1, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
